011010011001100110010110,0
011010011001100101100000,0
000001101001100110010110,0
010010101010101010100100,0
001001010101010101010010,0
111110011001100110011111,0
100010001000100010001000,1
010001000100010001000100,1
001000100010001000100010,1
000100010001000100010001,1
110011001100110011001100,1
011001100110011001100110,1
001100110011001100110011,1
111000010010010010001111,2
111010010010010010011111,2
111100011111100010001111,2
111000010111000100011110,3
111100011111000100011111,3
011100010111000101110000,3
100010001010111100100010,4
100010101111001000100010,4
100010001000101011110010,4
111110001110000100011110,5
111110001111000110011111,5
111110001110000110010110,5
011110000110000100011110,5
011110001110100110010110,6
111110001111100110011111,6
111110001110100110011111,6
111110011001000100010001,7
111010010001000100010001,7
111100010001001000100010,7
011010010110100110010110,8
111110011111100110011111,8
011010011111100110010110,8
111110011111000100011111,9
111110011111000110011111,9
011010010111000110010110,9
